Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Random Forest,0.4166,0.36420194613867923,0.4166,0.35951158686524004,0.499289734958603
Logistic Regression,0.4489,0.20151121,0.4489,0.27815751259576227,0.49806554591613267
